,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
40526,Q230633,Pola Negri,"Polish actress, singer and memorist",Female,Poland,Artist,1897,1987.0,natural causes,90.0
300725,Q3129614,Helen Gandy,civil servant,Female,United States of America,Civil service,1897,1988.0,natural causes,91.0
65761,Q443841,Gaston Monnerville,French Guiana politician (1897-1991),Male,France,Politician,1897,1991.0,natural causes,94.0
33838,Q158148,Grand Duchess Tatiana Nikolaevna of Russia,second daughter of Tsar Nicholas II and Tsarina Alexandra Feodorovna of Russia,Female,Russian Empire,Politician,1897,1918.0,homicide,21.0
40511,Q230415,Judith Anderson,Australian stage and screen actress (1897-1992),Female,Australia,Artist,1897,1992.0,natural causes,95.0
1195958,Q64214311,Frances Woodworth Wright,American astronomer,Female,United States of America,Astronomer,1897,1989.0,natural causes,92.0
94010,Q700060,Vladimir Paley,Russian writer (1897-1918),Male,Russian Empire,Artist,1897,1918.0,homicide,21.0
118945,Q960081,Kenneth Burke,American philosopher,Male,United States of America,Artist,1897,1993.0,natural causes,96.0
386561,Q4351745,António Fragoso,Portuguese composer,Male,Portugal,Artist,1897,1918.0,natural causes,21.0
560148,Q6307536,Julian Royds Gribble,Recipient of the Victoria Cross,Male,United Kingdom of Great Britain and Ireland,Military personnel,1897,1918.0,natural causes,21.0
464709,Q5442098,Felisa Rincón de Gautier,"Puerto Rican politician, Mayor of San Juan",Female,Puerto Rico,Politician,1897,1994.0,natural causes,97.0
47064,Q293067,Hermione Gingold,English actress (1897-1987),Female,United Kingdom,Artist,1897,1987.0,natural causes,90.0
648094,Q8043246,Xavier Gonzalez,American artist (1898-1993),Male,United States of America,Artist,1898,1993.0,natural causes,95.0
400684,Q4710105,Albert Edward McKenzie,Recipient of the Victoria Cross,Male,United Kingdom of Great Britain and Ireland,Military personnel,1898,1918.0,natural causes,20.0
298641,Q3107581,Petar Marinovich,Chevalier of the Légion d'honneur,Male,France,Military personnel,1898,1919.0,accident,21.0
463758,Q5415141,Eva Novak,American film actress (1898-1988),Female,United States of America,Artist,1898,1988.0,natural causes,90.0
126596,Q1052321,Cecil Arthur Lewis,British fighter pilot,Male,United Kingdom,Artist,1898,1997.0,natural causes,99.0
879910,Q18530398,Mildred Creak,child psychiatrist,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Psychiatrist; child psychiatrist,1898,1993.0,natural causes,95.0
239298,Q2156808,Robert D. Blue,American politician,Male,United States of America,Politician,1898,1989.0,natural causes,91.0
469448,Q5489246,Frank Robinson,American jockey,Male,United States of America,Jockey,1898,1919.0,accident,21.0
40496,Q230099,Irene Dunne,American actress,Female,United States of America,Artist,1898,1990.0,natural causes,92.0
257179,Q2537197,Karolina Kózka,Polish martyr,Female,Poland; Russian Empire,Philosopher,1898,1914.0,homicide,16.0
95363,Q708251,Norman Vincent Peale,American writer,Male,United States of America,Artist,1898,1993.0,natural causes,95.0
612183,Q7397940,Sadie Tanner Mossell Alexander,First African-American to receive a Ph.D. in economics in the United States,Female,United States of America,Lawyer,1898,1989.0,natural causes,91.0
90424,Q658887,Alois Lutz,figure skater,Male,Austria,Athlete,1898,1918.0,natural causes,20.0
446070,Q5249926,Dee Lampton,actor (1898-1919),Male,United States of America,Artist,1898,1919.0,natural causes,21.0
58221,Q363383,Armand Hammer,American businessman and philanthropist,Male,United States of America,Businessperson,1898,1990.0,natural causes,92.0
561558,Q6372015,Karl L. Rankin,American diplomat,Male,United States of America,Politician,1898,1991.0,natural causes,93.0
799452,Q16013909,Waldo Nelson,American pediatrician,Male,United States of America,Researcher,1898,1997.0,natural causes,99.0
288391,Q3013783,Eileen Sedgwick,actress (1898-1991),Female,United States of America,Artist,1898,1991.0,natural causes,93.0
737744,Q12464664,Wang Huiwu,Chinese politician and social reformer,Female,People's Republic of China,Essayist,1898,1993.0,natural causes,95.0
569649,Q6555512,Lionel Ashfield,British flying ace,Male,United Kingdom of Great Britain and Ireland,Airman,1898,1918.0,death in battle,20.0
43884,Q266261,Charlotte Moore Sitterly,American astronomer,Female,United States of America,Researcher,1898,1990.0,natural causes,92.0
27849,Q114509,Scott O'Dell,American children's writer,Male,United States of America,Artist,1898,1989.0,natural causes,91.0
706886,Q11812051,Herbert A. Patey,British flying ace,Male,United Kingdom of Great Britain and Ireland,Military personnel,1898,1919.0,natural causes,21.0
340844,Q3565064,Isaak Kreisberg,Jewish political figure,Male,Russian Empire,Statesperson,1898,1919.0,unnatural death,21.0
83498,Q573029,Happy Chandler,"Governor of Kentucky, Baseball Commissioner (1898-1991)",Male,United States of America,Athlete,1898,1991.0,natural causes,93.0
70281,Q467563,Molly Picon,American actress,Female,United States of America,Artist,1898,1992.0,natural causes,94.0
533543,Q6142811,James Scaramanga,British flying ace,Male,United Kingdom of Great Britain and Ireland,Military personnel,1898,1918.0,death in battle,20.0
579325,Q6805151,Medardo Ángel Silva Rodas,Brasilian writer,Male,Ecuador,Artist,1898,1919.0,suicide,21.0
1097631,Q51547432,Hazel Hutchins Wilson,American writer (1898-1992),Female,United States of America,Researcher,1898,1992.0,natural causes,94.0
537412,Q6180605,Jerauld Wright,United States Navy admiral,Male,United States of America,Politician,1898,1995.0,natural causes,97.0
408076,Q4766275,Ann Bishop,British biologist,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Researcher,1899,1990.0,natural causes,91.0
798326,Q16012497,Michael Raffetto,"actor, radio (1899-1990)",Male,United States of America,Artist,1899,1990.0,natural causes,91.0
413280,Q4800487,Arthur Tracy,American actor (1899-1997),Male,United States of America,Artist,1899,1997.0,natural causes,98.0
489102,Q5620937,Gussie Busch,American businessman,Male,United States of America,Businessperson,1899,1989.0,natural causes,90.0
62330,Q391314,Madge Bellamy,actress (1899-1990),Female,United States of America,Artist,1899,1990.0,natural causes,91.0
489562,Q5622659,Guy Wareing,British flying ace,Male,United Kingdom of Great Britain and Ireland,Flying ace,1899,1918.0,death in battle,19.0
574574,Q6759427,Margaret Fristch,American architect,Female,United States of America,Architect,1899,1993.0,natural causes,94.0
64153,Q434814,Lillian Disney,American artist and philanthropist,Female,United States of America,Artist,1899,1997.0,natural causes,98.0
399868,Q4706076,Alan McLeod,Canadian recipient of the Victoria Cross,Male,Canada,Military personnel,1899,1918.0,natural causes,19.0
33587,Q155422,Grand Duchess Maria Nikolaevna of Russia,third daughter of Nicholas II of Russia and Alexandra Fyodorovna,Female,Russian Empire,Politician,1899,1918.0,homicide,19.0
197491,Q1670183,Whistlin' Alex Moore,"American blues pianist, singer and whistler",Male,United States of America,Artist,1899,1989.0,natural causes,90.0
173430,Q1473588,Kenjiro Takayanagi,Japanese pioneer in the development of television,Male,Japan,Engineer,1899,1990.0,natural causes,91.0
159520,Q1386097,Ezra Taft Benson,President of The Church of Jesus Christ of Latter-day Saints (1899-1994),Male,United States of America,Politician,1899,1994.0,natural causes,95.0
602126,Q7326452,Richard Hill,British flying ace,Male,United Kingdom of Great Britain and Ireland,Flying ace,1899,1918.0,natural causes,19.0
947283,Q21030483,Edgar Miller,American artist,Male,United States of America,Artist,1899,1993.0,natural causes,94.0
42102,Q247662,Aline MacMahon,actress,Female,United States of America,Artist,1899,1991.0,natural causes,92.0
638480,Q8003440,Willard Leon Beaulac,American diplomat,Male,United States of America,Politician,1899,1990.0,natural causes,91.0
161342,Q1399691,Germán Arciniegas,Colombian essayist and historian (1900-1999),Male,Colombia,Researcher,1900,1999.0,natural causes,99.0
64388,Q435962,Paola Borboni,Italian actress (1900-1995),Female,Italy; Kingdom of Italy,Artist,1900,1995.0,natural causes,95.0
679937,Q11224333,Nikola Gazdić,Croatian footballer (1900-1921),Male,Croatia,Athlete,1900,1921.0,natural causes,21.0
413104,Q4800232,Arthur Sanders,"English cricketer, military officer (1900-1920)",Male,United Kingdom of Great Britain and Ireland,Athlete,1900,1920.0,suicide,20.0
42873,Q256166,Teresa of the Andes,Chilean nun of the Discalced Carmelite Order,Female,Chile,Nun; christians jehovah’s witnesses,1900,1920.0,natural causes,20.0
1057013,Q30610505,Tomás Armuelles,Panamanian military personnel,Male,Panama,Military personnel,1900,1921.0,accident,21.0
607397,Q7349739,Robert Shayne,"Film, Television actor (1900-1992)",Male,United States of America,Artist,1900,1992.0,natural causes,92.0
42701,Q254588,Natalie Schafer,American actress (1900-1991),Female,United States of America,Artist,1900,1991.0,natural causes,91.0
594654,Q7177224,Peter T. Farrell,American politician,Male,United States of America,Politician,1900,1992.0,natural causes,92.0
789379,Q15985294,Alonzo Fields,American butler,Male,United States of America,Butler,1900,1994.0,natural causes,94.0
37010,Q192185,Aaron Copland,"American composer, composition teacher, writer, and conductor",Male,United States of America,Artist,1900,1990.0,natural causes,90.0
140234,Q1243475,Giuseppe Morabito,Italian poet,Male,Italy; Kingdom of Italy,Artist,1900,1997.0,accident,97.0
399802,Q4704892,Al Trace,American bandleader,Male,United States of America,Artist,1900,1993.0,natural causes,93.0
555612,Q6267376,Johnny Neun,American baseball player and coach,Male,United States of America,Athlete,1900,1990.0,natural causes,90.0
499814,Q5728199,Henry Serrano Villard,"diplomat, author",Male,United States of America,Politician,1900,1996.0,natural causes,96.0
1107395,Q54913197,César Boente,inxenieru español (1900–1920),,Spain,Engineer,1900,1920.0,homicide,20.0
463386,Q5408238,Eugenie Leontovich,"Actress, acting teacher (1900-1993)",Female,United States of America,Artist,1900,1993.0,natural causes,93.0
364214,Q3897558,Pat Walshe,American actor (1900-1991),Male,United States of America,Artist,1900,1991.0,natural causes,91.0
115843,Q932255,Carol Dempster,actress (1901-1991),Female,United States of America,Artist,1901,1991.0,natural causes,90.0
64317,Q435540,Rina Zelyonaya,Soviet actress (1901-1991),Female,Soviet Union; Russian Empire,Artist,1901,1991.0,natural causes,90.0
882460,Q18576051,Dorothy Galton,"Galton, Dorothy Constance (1901–1992), university administrator and apiculturist",Female,United Kingdom; United Kingdom of Great Britain and Ireland,Beekeeper,1901,1992.0,natural causes,91.0
632605,Q7924879,Vic Prinzi,American football player and announcer,Male,United States of America,Athlete,1901,1998.0,natural causes,97.0
3804,Q55391,Robert Bresson,French film director,Male,France,Artist,1901,1999.0,natural causes,98.0
799751,Q16014358,Ben Davidson,"Author, politician",Male,United States of America,Politician,1901,1991.0,natural causes,90.0
3278,Q48983,Linus Pauling,American scientist,Male,United States of America,Researcher,1901,1994.0,natural causes,93.0
916339,Q19832607,Edith Louise Potter,American physician,Female,United States of America,Teacher,1901,1993.0,natural causes,92.0
428673,Q5006903,C. V. Gunaratne,Sri Lankan politician,Male,Sri Lanka,Politician,1901,2000.0,suicide,99.0
33158,Q151130,Grand Duchess Anastasia Nikolaevna of Russia,youngest daughter of Emperor Nicholas II and Empress Alexandra Feodorovna of Russia,Female,Russian Empire,Politician,1901,1918.0,homicide,17.0
201653,Q1691552,Joe Pasternak,Hungarian film producer,Male,Hungary,Film producer,1901,1991.0,natural causes,90.0
69816,Q465298,Lee Alvin DuBridge,American physicist,Male,United States of America,Researcher,1901,1994.0,natural causes,93.0
44517,Q271526,Vilma Bánky,Hungarian-Americanfilm actress,Female,Hungary; United States of America,Artist,1901,1991.0,natural causes,90.0
322,Q4612,Marlene Dietrich,German-American actress and singer (1901-1992),Female,United States of America; Nazi Germany; Weimar Republic; German Empire,Artist,1901,1992.0,natural causes,91.0
36428,Q183099,Vehbi Koç,Turkish businessman,Male,Turkey,Businessperson,1901,1996.0,natural causes,95.0
942,Q11941,Carl Barks,American Disney comics creator (1901-2000),Male,United States of America,Artist,1901,2000.0,natural causes,99.0
191101,Q1605972,Henri Philippe Pharaoun,Lebanese politician (1901-1993),Male,Lebanon,Athlete,1901,1993.0,homicide,92.0
73755,Q504007,Ignatius Kung Pin-Mei,Catholic cardinal,Male,People's Republic of China; China,Religious figure,1901,2000.0,natural causes,99.0
774265,Q15499818,Louise Thompson Patterson,American social activist and college professor,Female,United States of America,Teacher,1901,1999.0,natural causes,98.0
319381,Q3286842,Manuel Granero i Valls,Spanish matador and torero (1902-1922),Male,Spain,Bullfighter,1902,1922.0,accident,20.0
219341,Q1855981,Kevin Barry,Irish republican,Male,Ireland,Athlete,1902,1920.0,capital punishment,18.0
66326,Q447059,Dulce María Loynaz,Cuban writer,Female,Cuba,Artist,1902,1997.0,natural causes,95.0
11793,Q77489,Curt Siodmak,German-American writer,Male,United States of America; Germany; Weimar Republic; German Empire,Artist,1902,2000.0,natural causes,98.0
33629,Q155790,Eugene Wigner,Hungarian-American mathematician and Nobel Prize-winning physicist,Male,United States of America; Austria-Hungary,Researcher,1902,1995.0,natural causes,93.0
66596,Q448594,Esther Ralston,actress (1902-1994),Female,United States of America,Artist,1902,1994.0,natural causes,92.0
197836,Q1673162,Alice Tully,singer,Female,United States of America,Artist,1902,1993.0,natural causes,91.0
562138,Q6380148,Kay B. Barrett,American talent scout,Female,United States of America,Talent agent,1902,1995.0,natural causes,93.0
289966,Q3039327,Lyle Talbot,American actor (1902-1996),Male,United States of America,Artist,1902,1996.0,natural causes,94.0
43370,Q261620,Red Badgro,player of American football,Male,United States of America,Athlete,1902,1998.0,accident,96.0
42006,Q246419,Ivo Perilli,screenwriter,Male,Italy; Kingdom of Italy,Artist,1902,1994.0,natural causes,92.0
51831,Q326723,Leon Ames,actor (1902-1993),Male,United States of America,Artist,1902,1993.0,natural causes,91.0
77055,Q527052,George Murphy,American actor and politician (1902-1992),Male,United States of America,Artist,1902,1992.0,natural causes,90.0
391909,Q4459873,Crawford Greenewalt,American chemical engineer,Male,United States of America,Engineer,1902,1993.0,natural causes,91.0
38854,Q214391,Lucie Rie,Austrian-born British studio potter,Female,Austria; United Kingdom,Potter; ceramist,1902,1995.0,natural causes,93.0
562804,Q6388173,Ken Mitsuda,actor,Male,Japan,Artist,1902,1997.0,natural causes,95.0
318605,Q3270031,Léa Roback,Canadian activist,Female,Canada,Trade unionist,1903,2000.0,accident,97.0
53477,Q333615,Raymond Radiguet,French writer,Male,France,Artist,1903,1923.0,natural causes,20.0
327319,Q3372711,Pauline Curley,"vaudeville and silent film actress from Holyoke, Massachusetts, United States (1903-2000)",Female,United States of America,Artist,1903,2000.0,natural causes,97.0
611521,Q7381393,Russell Bufalino,American mobster,Male,Italy; Kingdom of Italy,Gangster,1903,1994.0,natural causes,91.0
484320,Q5566471,Gladys Walton,actress (1903-1993),Female,United States of America,Artist,1903,1993.0,natural causes,90.0
150153,Q1330714,Elisha Cook Jr.,American actor (1903-1995),Male,United States of America,Artist,1903,1995.0,natural causes,92.0
218240,Q1819392,Leonid Kinskey,American actor (1903-1998),Male,United States of America; Russian Empire,Artist,1903,1998.0,natural causes,95.0
166055,Q1444836,Fredi Washington,"American actress, activist (1903-1994)",Female,United States of America,Artist,1903,1994.0,natural causes,91.0
74880,Q511632,Delia Magaña,"Mexican actor, singer and dancer",Female,Mexico,Artist,1903,1996.0,natural causes,93.0
213956,Q1752678,Billie Dove,American silent film actress; aviator (1903-1997),Female,United States of America,Artist,1903,1997.0,natural causes,94.0
409016,Q4772439,Anthony E. Pratt,English inventor,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Game author,1903,1994.0,natural causes,91.0
99951,Q729306,Carlos Montoya,Spanish musician,Male,Spain,Artist,1903,1993.0,natural causes,90.0
43832,Q265819,Mary Philbin,actress (1903-1993),Female,United States of America,Artist,1903,1993.0,natural causes,90.0
207946,Q1707761,George J. Lewis,actor (1903-1995),Male,United States of America,Artist,1903,1995.0,natural causes,92.0
38472,Q213577,Maria Reiche,"Peruvian archaeologist, mathematician and technical translator",Female,Germany; Peru,Researcher,1903,1998.0,age; natural causes,95.0
435673,Q5083312,Charles Wall,American historian,Male,United States of America,Researcher,1903,1995.0,natural causes,92.0
270062,Q2708193,Lili Damita,actress,Female,France,Artist,1904,1994.0,natural causes,90.0
44534,Q271655,Laura La Plante,American actress (1904-1996),Female,United States of America,Artist,1904,1996.0,natural causes,92.0
553543,Q6258426,John Snagge,British reporter,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Journalist,1904,1996.0,natural causes,92.0
86014,Q596717,Phil Harris,American Entertainer,Male,United States of America,Artist,1904,1995.0,natural causes,91.0
81048,Q554577,Edward Ashley-Cooper,Australian actor (1904-2000),Male,United States of America; Australia,Artist,1904,2000.0,natural causes,96.0
83548,Q573327,Anthony Havelock-Allan,British Baronet,Male,United Kingdom,Artist,1904,2003.0,natural causes,99.0
980676,Q21997041,Aurelius Marie,politician and jurist from Dominica who served as the second President of Dominica (1904-1995),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Politician,1904,1995.0,natural causes,91.0
383131,Q4274877,Boļeslavs Maikovskis,Latvian Nazi collaborator,Male,Latvia; Nazi Germany; Soviet Union; Russian Empire; Russian Republic,Chief of police,1904,1996.0,natural causes,92.0
31207,Q124670,Wilf Carter,Canadian singer,Male,Canada,Artist,1904,1996.0,natural causes,92.0
571555,Q6687639,Louis Lefkowitz,American politician,Male,United States of America,Politician,1904,1996.0,natural causes,92.0
56126,Q351761,Herbert Brownell,American politician (1904-1996),Male,United States of America,Politician,1904,1996.0,natural causes,92.0
1241,Q16977,Deng Xiaoping,"Chinese politician, paramount leader of the People's Republic of China from 1978 until his retirement in 1992",Male,People's Republic of China,Politician,1904,1997.0,natural causes,93.0
483665,Q5561714,Giles Sutherland Rich,American judge,Male,United States of America,Judge,1904,1999.0,natural causes,95.0
32418,Q132305,Willem de Kooning,Dutch painter (1904-1997),Male,United States of America; Kingdom of the Netherlands,Artist,1904,1997.0,natural causes,93.0
178517,Q1525437,Ludwik Gross,American virologist,Male,United States of America; Poland,Physician,1904,1999.0,natural causes,95.0
404993,Q4726118,Alice Swanson Esty,American actress and singer (1904-2000),Female,United States of America,Artist,1904,2000.0,natural causes,96.0
33458,Q154045,"Alexei Nikolaevich, Tsarevich of Russia",son of Nicholas II and Alexandra Feodorovna; heir apparent of the Russian Empire,Male,Russian Empire,Politician,1904,1918.0,homicide,14.0
78418,Q537039,François Marty,Catholic cardinal,Male,France,Artist,1904,1994.0,accident,90.0
131063,Q1101372,Clifton Fadiman,American editor,Male,United States of America,Artist,1904,1999.0,natural causes,95.0
637661,Q7982461,Wendell Niles,American radio personality,Male,United States of America,Radio personality,1904,1994.0,natural causes,90.0
844118,Q16974274,MacNeil Mitchell,New York politician,Male,United States of America,Politician,1904,1996.0,natural causes,92.0
609333,Q7363111,Romeo Murga,Chilean writer,Male,Chile,Researcher,1904,1925.0,natural causes,21.0
68162,Q456350,Patsy Ruth Miller,American actress (1904-1995),Female,United States of America,Artist,1904,1995.0,natural causes,91.0
232673,Q2059942,Frieda Belinfante,Dutch-American conductor and resistance fighter,Female,Kingdom of the Netherlands,Conductor; resistance fighter; cellist,1904,1995.0,natural causes,91.0
40125,Q221454,René Lacoste,French tennis player,Male,France,Athlete,1904,1996.0,natural causes,92.0
99775,Q728214,Christian-Jaque,French filmmaker,Male,France,Artist,1904,1994.0,natural causes,90.0
240482,Q2164620,Roman Hruska,American politician,Male,United States of America,Politician,1904,1999.0,accident,95.0
213955,Q1752623,Roberto Marinho,Brazilian businessman,Male,Brazil,Businessperson,1904,2003.0,natural causes,99.0
386322,Q4347021,John Patrick,American playwright and screenwriter,Male,United States of America,Artist,1905,1995.0,suicide,90.0
352648,Q3752663,Fred Trump,German-American real estate developer; First father,Male,United States of America,Investor; real estate development,1905,1999.0,natural causes,94.0
885670,Q18631169,Rosemary R. Gunning,New York politician,Female,United States of America,Politician,1905,1997.0,natural causes,92.0
359182,Q3814719,Mildred Benson,American writer,Female,United States of America,Artist,1905,2002.0,natural causes,97.0
372240,Q4095140,Naftali Botwin,Polish communist,Male,Poland,Political activist; manual worker,1905,1925.0,capital punishment,20.0
94541,Q704498,Witness Lee,Chinese Christian preacher,Male,People's Republic of China,Translator,1905,1997.0,natural causes,92.0
413535,Q4801742,Arturo García Buhr,"actor, film director",Male,Argentina,Artist,1905,1995.0,suicide,90.0
80295,Q550255,J. William Fulbright,American politician (1905-1995),Male,United States of America,Politician,1905,1995.0,natural causes,90.0
650360,Q8294899,Li Qiang,Minister of Foreign Trade of China,Male,People's Republic of China,Politician,1905,1996.0,natural causes,91.0
52913,Q330902,Abraham Ángel,Mexican painter (1905-1924),Male,Mexico,Artist,1905,1924.0,suicide,19.0
133983,Q1142338,Kwan Tak-hing,Hong Kong actor,Male,British Hong Kong,Artist,1905,1996.0,natural causes,91.0
95965,Q709936,Joseph Bonanno,Sicilian-born American mafioso who became the boss of the Bonanno crime family,Male,United States of America; Italy; Kingdom of Italy,Criminal,1905,2002.0,natural causes,97.0
49252,Q315584,Takeo Fukuda,Japanese politician and the 67th Prime Minister of Japan (1905-1995),Male,Japan,Politician,1905,1995.0,natural causes,90.0
136137,Q1175386,David M. Kennedy,American diplomat (1905-1996),Male,United States of America,Politician,1905,1996.0,natural causes,91.0
292072,Q3061280,Eva Hart,Titanic survivor (1905-1996),Female,United Kingdom,Politician,1905,1996.0,natural causes,91.0
48193,Q310488,Prince John of the United Kingdom,Son of King George V,Male,United Kingdom of Great Britain and Ireland,Politician,1905,1919.0,natural causes,14.0
597601,Q7279427,Rachel Thomas,Welsh actress (1905-1995),Female,Wales; United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1905,1995.0,accident,90.0
214002,Q1753657,Alberts Tarulis,Latvian footballer (1906-1927),Male,Latvia,Athlete,1906,1927.0,suicide,21.0
9756,Q72919,Marie José of Belgium,Italian queen,Female,Belgium,Politician,1906,2001.0,natural causes,95.0
142290,Q1264208,Duilio Coletti,Italian film director,Male,Italy; Kingdom of Italy,Artist,1906,1999.0,natural causes,93.0
509874,Q5902099,Horace Roye,British photographer,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1906,2002.0,homicide,96.0
3487,Q51547,Billy Wilder,Austrian-born American film director and screenwriter (1906-2002),Male,United States of America; Austria,Artist,1906,2002.0,natural causes,96.0
65616,Q443096,Anne Morrow Lindbergh,American aviator and author,Female,United States of America,Artist,1906,2001.0,natural causes,95.0
1064646,Q38183330,Velma Springstead,Canadian athlete,Female,Canada,Athlete,1906,1927.0,natural causes,21.0
597571,Q7279200,Rachel Cleland,Australian activist,Female,Australia,Activist,1906,2002.0,natural causes,96.0
758018,Q14776889,Norman Lumsden,British opera singer and actor (1906-2001),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1906,2001.0,natural causes,95.0
112307,Q887757,Robert Allen,American film actor (1906-1998),Male,United States of America,Artist,1906,1998.0,natural causes,92.0
153880,Q1354258,G. Ledyard Stebbins,American botanist and geneticist (1906-2000),Male,United States of America,Researcher,1906,2000.0,natural causes,94.0
48685,Q313046,Eddie Albert,American actor (1906-2005),Male,United States of America,Artist,1906,2005.0,natural causes,99.0
33496,Q154448,Victor Vasarely,French-Hungarian painter and printmaker,Male,France; Kingdom of Hungary,Artist,1906,1997.0,natural causes,91.0
595958,Q7188611,Phyllis Pearsall,British cartographer and typographer (1906-1996),Female,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1906,1996.0,natural causes,90.0
54929,Q343633,Burgess Meredith,American film and television actor,Male,United States of America,Artist,1907,1997.0,natural causes,90.0
583910,Q6947400,Myer Rosenblum,"Australian rugby union footballer, hammer thrower and lawyer",Male,South Africa; Australia,Athlete,1907,2002.0,natural causes,95.0
42536,Q252739,"Lewis F. Powell, Jr.",former Associate Justice of the Supreme Court of the United States (1907-1998),Male,United States of America,Politician,1907,1998.0,natural causes,91.0
303877,Q3157703,Jacqueline Delubac,French actress,Female,France,Artist,1907,1997.0,accident,90.0
483309,Q5560590,Gil Perkins,Australian film and television actor,Male,Australia,Artist,1907,1999.0,natural causes,92.0
70792,Q470252,Arlene Francis,"American actress, radio and television talk show host, and game show panelist",Female,United States of America,Artist,1907,2001.0,natural causes,94.0
56281,Q352930,Jimmy Driftwood,singer,Male,United States of America,Artist,1907,1998.0,natural causes,91.0
136344,Q1176803,David Martin,Republican politician from western Nebraska (1907-1997),Male,United States of America,Politician,1907,1997.0,natural causes,90.0
111449,Q881113,John O. Pastore,American politician (1907-2000),Male,United States of America,Politician,1907,2000.0,natural causes,93.0
292551,Q3069067,Fernand Brunel,French football player (1907-1927),Male,France,Athlete,1907,1927.0,natural causes,20.0
126051,Q1042647,Braguinha,Brazilian songwriter,Male,Brazil,Artist,1907,2006.0,natural causes,99.0
3821,Q55420,Fred Zinnemann,Austrian-born American film director (1907-1997),Male,United States of America; Austria,Artist,1907,1997.0,natural causes,90.0
3909,Q56016,Katharine Hepburn,American actress (1907-2003),Female,United States of America,Artist,1907,2003.0,natural causes,96.0
80572,Q551783,Roger Peyrefitte,French diplomat and writer,Male,France,Artist,1907,2000.0,natural causes,93.0
466076,Q5478721,Frances Horwich,American television executive,Female,United States of America,Television producer,1907,2001.0,natural causes,94.0
466068,Q5478694,Frances Hamerstrom,American writer and scientist,Female,United States of America,Artist,1907,1998.0,natural causes,91.0
637872,Q7994108,Whit Wyatt,American baseball player-coach,Male,United States of America,Athlete,1907,1999.0,natural causes,92.0
13620,Q84808,Josef Issels,German physician,Male,Germany,Physician,1907,1998.0,natural causes,91.0
54848,Q342723,Gene Autry,American actor and singer (1907-1998),Male,United States of America,Artist,1907,1998.0,natural causes,91.0
697464,Q11678307,Hiroshi Kuroki,Japanese administrator,Male,Japan,Politician,1907,2001.0,natural causes,94.0
799826,Q16014451,Hermann Merkin,American businessman,Male,United States of America,Financier,1907,1999.0,natural causes,92.0
281550,Q2899041,Bernice Claire,"American singer, actress",Female,United States of America,Artist,1907,2003.0,natural causes,96.0
118189,Q953998,Philip Klutznick,American politician,Male,United States of America,Investor,1907,1999.0,natural causes,92.0
418023,Q4893635,Bernard Segal,American lawyer and civil rights activist,Male,United States of America,Lawyer,1907,1997.0,natural causes,90.0
575462,Q6764734,Mario Ciampi,American architect,Male,United States of America,Architect,1907,2006.0,natural causes,99.0
74116,Q505949,Arturo Uslar Pietri,"Venezuelan writer, politician, diplomat and journalist (1907-2001)",Male,Venezuela,Artist,1907,2001.0,natural causes,94.0
49335,Q315949,Robert Merle,French writer,Male,France,Artist,1908,2004.0,natural causes,96.0
87579,Q612410,C. Vann Woodward,preeminent American historian,Male,United States of America,Researcher,1908,1999.0,natural causes,91.0
274830,Q2832456,Alejandro Gómez,Argentine politician,Male,Argentina,Politician,1908,2005.0,natural causes,97.0
118822,Q959096,Albert Wass,Hungarian writer (1908-1998),Male,Hungary; Romania,Artist,1908,1998.0,suicide,90.0
119868,Q967061,Julian Scriabin,Russian composer,Male,Russian Soviet Federative Socialist Republic; Russian Empire; Russian Republic; Ukrainian People's Republic; South Russia,Artist,1908,1919.0,accident,11.0
588723,Q7106490,Oseola McCarty,American philanthropist,Female,United States of America,Philanthropist,1908,1999.0,natural causes,91.0
187077,Q1586536,Harry Frederick Oppenheimer,South African businessman,Male,South Africa,Businessperson,1908,2000.0,natural causes,92.0
399450,Q4703471,Al Alquist,American politician,Male,United States of America,Politician,1908,2006.0,natural causes,98.0
81651,Q558933,Milton Berle,American comedian and actor,Male,United States of America,Artist,1908,2002.0,natural causes,94.0
123711,Q1001214,Buddy Ebsen,American actor and dancer (1908-2003),Male,United States of America,Artist,1908,2003.0,natural causes,95.0
114576,Q920513,Quentin Crisp,"English writer, humorist and actor",Male,United States of America; United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1908,1999.0,natural causes,91.0
267936,Q2654470,Joaquín Nin-Culmell,American composer and pianist of Cuban descent,Male,Spain; Cuba,Artist,1908,2004.0,natural causes,96.0
282033,Q2903550,Billie Bird,actress,Female,United States of America,Artist,1908,2002.0,natural causes,94.0
199422,Q1680495,James Hobson Morrison,American politician (1908-2000),Male,United States of America,Politician,1908,2000.0,natural causes,92.0
